Nummer;Reservationsnummer;Reservation von;Reservation bis;Standort;Ziel-Standort;Kategorie;Fahrzeugnummer;Kilometer total;Kosten Total;Reservationsbemerkung;Kostenstelle;Selbstbehalt 300
13;35157034;31.12.2025 10:30;31.12.2025 14:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;43;38.97;;;0
14;35159727;29.12.2025 07:30;29.12.2025 10:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;33.5;;;0
15;35151958;27.12.2025 07:30;27.12.2025 10:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;38;41.3;;;0
16;35111618;21.12.2025 07:00;21.12.2025 10:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;38;44.3;;;0
17;35119379;19.12.2025 17:30;19.12.2025 21:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;35.96;;;0
18;35093010;16.12.2025 07:30;16.12.2025 12:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;0;38.07;;;0
19;35093009;15.12.2025 07:30;15.12.2025 12:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;38.42;;;0
20;35088553;12.12.2025 07:00;12.12.2025 11:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;29;32.15;;;0
21;35088798;11.12.2025 07:30;11.12.2025 10:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;34.73;;;0
22;35084643;10.12.2025 07:00;10.12.2025 09:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;32.27;;;0
23;35071223;06.12.2025 20:30;06.12.2025 21:30;Bremgarten (AG) West;;Economy;41139;4;5.5;;;0
24;35047027;04.12.2025 07:30;04.12.2025 12:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;29;32.77;;;0
25;35013735;27.11.2025 07:00;27.11.2025 11:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;22;27.21;;;0
26;34762302;25.09.2025 09:00;25.09.2025 10:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;5;7.25;;;0
27;34748579;23.09.2025 08:30;23.09.2025 13:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;21;32.85;;;0
28;34559701;10.08.2025 00:00;10.08.2025 10:00;Lungern Bahnhof;;Economy Electro;36958;30;39.05;;;0
29;34562846;06.08.2025 13:00;06.08.2025 14:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;17;23.45;;;0
30;34435879;17.07.2025 12:30;17.07.2025 14:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;24;30.15;;;0
31;34435878;09.07.2025 12:00;09.07.2025 16:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;54;60.9;;;0
32;34042852;04.04.2025 06:00;04.04.2025 07:00;Lungern Bahnhof;;Economy Electro;36958;0;10.62;;;0
33;34033418;28.03.2025 15:30;28.03.2025 16:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;4;7.15;;;0
34;33975591;17.03.2025 07:00;17.03.2025 12:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;29;41.9;;;0
35;33979929;15.03.2025 10:30;15.03.2025 13:30;Sarnen Bahnhof;;Combi;23094;34;39.4;;;0
36;33902358;27.02.2025 19:30;27.02.2025 21:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;15;17.25;;;0
37;33880426;21.02.2025 06:30;21.02.2025 12:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;38;48.8;;;0
38;33874919;19.02.2025 18:00;19.02.2025 21:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;41.95;;;0
39;33869257;15.02.2025 14:30;15.02.2025 16:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;3;7.05;;;0
40;33843801;10.02.2025 08:00;10.02.2025 09:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;0;9;;;0
41;33810463;05.02.2025 09:00;05.02.2025 14:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;48.7;;;0
42;33810459;04.02.2025 07:00;04.02.2025 09:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;0;12.75;;;0
43;33781207;25.01.2025 07:00;25.01.2025 10:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;28;34.3;;;0
44;33770714;24.01.2025 07:00;24.01.2025 11:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;23;33.05;;;0
45;33768953;21.01.2025 17:30;21.01.2025 21:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;37;44.2;;;0
46;33746964;20.01.2025 09:00;20.01.2025 16:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;39;54.15;;;0
47;33757377;18.01.2025 14:30;18.01.2025 16:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;30;31.5;;;0
48;33719167;12.01.2025 07:00;12.01.2025 14:00;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;24;44.4;;;0
49;33689757;02.01.2025 11:00;02.01.2025 16:30;Meiringen Bahnhof / Einstellhalle Casino;;Combi;33634;18;34.05;;;0
